index,epsilon,pvalue,symbol,product
KIR3DL1,1.0908966666666668,0.017747518,KIR3DL1,1.9100099173100062
PSG9,1.2901766666666667,0.033517184,PSG9,1.9026654275602186
PYCR1,0.90829,0.008096807,PYCR1,1.8998576602004027
C20orf196,1.2176466666666668,0.027642041,C20orf196,1.8976169724106406
PDE1B,1.2479633333333333,0.030671436745637402,PDE1B,1.8885003316180828
WNT9B,0.8685466666666666,0.006816967,WNT9B,1.8816271568550365
BRE,1.1211633333333333,0.022349825700599138,BRE,1.8507333069978278
IVNS1ABP,1.1972900000000002,0.028918838,IVNS1ABP,1.8424128013003245
GGT2,1.08074,0.019991993256069523,GGT2,1.8363327821419504
YWHAB,1.12799,0.023616884127984798,YWHAB,1.8349886407665574
NTC_4682,1.0889300000000002,0.020956162869383777,NTC,1.8279739796448242
NTC_10632,1.1653133333333334,0.027945172443401046,NTC,1.8105394089845228
PAN2,1.3798766666666666,0.04927696,PAN2,1.803990168574435
MAPK14,1.1391233333333335,0.026414159639745683,MAPK14,1.7977225269028851
MED15,0.86421,0.008421111,MED15,1.792916527
PSMC3IP,1.0667766666666667,0.021142290670090855,PSMC3IP,1.7866887246537095
SLC38A6,1.344056666666667,0.047264108350321445,SLC38A6,1.7815048152399378
XRCC1,1.1420866666666667,0.028274229563438558,XRCC1,1.7686459422788665
PLCB3,0.9653100000000001,0.015395024406627624,PLCB3,1.7497398436909144
ZNF677,1.0082966666666666,0.018506613,ZNF677,1.7470484594219795
SPEN,1.1821300000000001,0.033424948752370745,SPEN,1.7447402442223938
APC2,1.0652033333333333,0.023412770025577817,APC2,1.7368643134030421
L1TD1,1.0056733333333334,0.018896706,L1TD1,1.7333925195415603
SCAF8,1.0026366666666668,0.018896706,SCAF8,1.7281584787155058
CDCP2,1.2338566666666668,0.039783676,CDCP2,1.727763428009749
NTC_1179,0.8263333333333334,0.008479773,NTC,1.7118451695366064
A4GALT,1.1512566666666668,0.033517184,A4GALT,1.6977955922689287
IL17F,1.1241266666666667,0.031188634301363236,IL17F,1.692938853914781
CCNT1,1.5713933333333334,0.084179336,CCNT1,1.6889249198673495
NPIPA8,0.8592666666666666,0.010896192982889357,NPIPA8,1.6865043518357852
TXLNG,0.8983266666666665,0.013487817,TXLNG,1.679923283905892
HNF4A,1.03834,0.024519321,HNF4A,1.6722378058302885
ANGPT1,1.1568366666666667,0.036486427,ANGPT1,1.6633791888937242
SWI5,1.1618166666666667,0.037389365,SWI5,1.6582050628976457
ATM,1.5980533333333333,0.092021142,ATM,1.6557628446656245
NTC_7033,0.7610199999999999,0.006948744,NTC,1.6423524635795685
STK10,1.10819,0.034075181,STK10,1.6263373403600947
ACIN1,0.9947433333333333,0.023412770025577817,ACIN1,1.6219759576377468
CDCA7L,0.9516233333333333,0.020349197748482144,CDCA7L,1.609625863999169
NTC_12819,1.0319066666666665,0.027580311422934833,NTC,1.609156116918419
CKAP2,1.1392633333333335,0.03872714,CKAP2,1.6086222573644362
TP73,1.0059833333333335,0.025233692,TP73,1.6075806810170694
GNA11,0.9486666666666667,0.020895441764835383,GNA11,1.5937110893141555
ZPBP2,1.0985800000000001,0.035505021,ZPBP2,1.5926226624860453
SWSAP1,1.0231133333333333,0.027956594644651386,SWSAP1,1.5894226574522812
RHOBTB2,0.7456533333333334,0.007481542,RHOBTB2,1.5852656119634119
DDO,1.06894,0.033241129195568625,DDO,1.5802399042620763
NTC_2614,1.0194666666666667,0.028314187,NTC,1.5781302260944912
SP5,0.9030799999999999,0.017907844576839586,SP5,1.5776416417692676
NTC_11006,0.9490666666666666,0.022177366,NTC,1.5698417124954722
RHNO1,0.72267,0.006749006,RHNO1,1.5687432671197457
CELF1,0.6835866666666666,0.00509446,CELF1,1.5673971489524876
CDK5RAP3,1.0153933333333334,0.028675642057262966,CDK5RAP3,1.5662308635522655
MAGEC3,0.7816933333333332,0.010093254,MAGEC3,1.5602354885987202
RNF26,0.79366,0.010930847641556609,RNF26,1.5566419925695683
SRSF6,1.1168533333333335,0.040429263,SRSF6,1.556116408135845
SGK3,1.02974,0.030843011540665547,SGK3,1.5557757010996212
LSM14A,1.4160666666666668,0.080309615,LSM14A,1.5509221717033517
IL13,0.9775533333333333,0.026264039,IL13,1.5451584237039302
HTR5A,1.2974566666666667,0.064505368,HTR5A,1.5444977920426017
UBE2K,0.92933,0.022155264,UBE2K,1.5375979181516912
SMARCAD1,0.88502,0.018451464999661354,SMARCAD1,1.5345973738162384
COL6A2,1.1097633333333334,0.042872928,COL6A2,1.5179529892793315
LTBP3,0.8155133333333333,0.013825978,LTBP3,1.5162873246458768
ESRRG,0.77914,0.011426401,ESRRG,1.5131604326712076
NXT1,1.8855533333333334,0.15818737783486903,NXT1,1.5100042308293828
KAT7,0.86511,0.018015432306283625,KAT7,1.5090592238724903
UBFD1,1.31805,0.072404816,UBFD1,1.502883506128317
HECTD1,1.1168566666666666,0.04568,HECTD1,1.4968938444780562
FCRLB,0.7485933333333334,0.010223305114644025,FCRLB,1.4900066665769722
LTB,1.1023166666666668,0.045082756,LTB,1.4837067106338893
RNASEH2B,1.38238,0.08521885,RNASEH2B,1.4784060999601845
ABHD13,0.9499933333333332,0.027798933999020663,ABHD13,1.478162891554356
FUBP1,1.2441666666666666,0.065634716,FUBP1,1.471682936337927
ZC3HC1,0.92407,0.025966007857320155,ZC3HC1,1.465200601458006
ECT2,1.4310683333333334,0.095479657,ECT2,1.4598172784186216
NACAD,0.9467666666666666,0.028918838,NACAD,1.456902694009892
CHRNA7,1.3498333333333337,0.083820413,CHRNA7,1.4532983315233456
POLQ,1.12565,0.05136125,POLQ,1.4513730517844614
WLS,1.0214633333333334,0.038001831,WLS,1.4506776041221139
NTC_1712,0.6551800000000001,0.006199191,NTC,1.4464179232663583
TMEM127,0.6815466666666666,0.007912836,TMEM127,1.4323847129252867
MED19,0.8821666666666667,0.023822540521440415,MED19,1.4317670204172912
CYB5D2,0.7025333333333333,0.009283253,CYB5D2,1.4277583546184784
NTC_4282,1.50902,0.11349706273407106,NTC,1.4260471052885455
VTA1,0.9035066666666667,0.026489497686282996,VTA1,1.4247634041495538
MEAF6,1.1580833333333334,0.059395263,MEAF6,1.420097591002488
SON,1.3577933333333334,0.090367938,SON,1.4175167255442422
RASAL2,0.8302733333333332,0.019698516,RASAL2,1.4160863752554371
SF3A2,1.41334,0.099807382,SF3A2,1.4145234409963663
RAVER1,0.92345,0.029410559,RAVER1,1.414260643896505
TCF7L2,1.3432600000000001,0.089527653,TCF7L2,1.4077939691344898
PIGW,1.00916,0.040429263,PIGW,1.406066837574348
TBC1D8,0.8507899999999999,0.022480357038294645,TBC1D8,1.4022693516277414
NPHP3,1.09569,0.052565754,NPHP3,1.401713044485573
SRPR,1.02972,0.044374766,SRPR,1.3930710410002418
NENF,0.9457966666666666,0.033888306,NENF,1.390273939003255
GRAMD4,0.7373166666666664,0.013034785076785778,GRAMD4,1.3897653280993594
PALM,1.4101366666666668,0.10351432996103904,PALM,1.3889839463982476
WWTR1,0.8455866666666665,0.023075981856909435,WWTR1,1.3840899197947611
ZC3HAV1L,0.9171333333333332,0.031188634301363236,ZC3HAV1L,1.3812061400735172
HSP90AB1,0.8523699999999999,0.024519321,HSP90AB1,1.372734690520988
ZC3H13,0.9738833333333333,0.039358162,ZC3H13,1.3682721796163886
OR4C3,0.8958266666666665,0.029825805115254983,OR4C3,1.3665010064522392
CEMP1,1.0334933333333334,0.047885562,CEMP1,1.3639997610646393
TOX4,0.83023,0.022875935038989707,TOX4,1.362092893540282
C16orf46,1.1362633333333334,0.063392107,C16orf46,1.3612034931597459
ARHGDIA,0.7178133333333332,0.012713813565935459,ARHGDIA,1.3607760793096264
ELN,0.8200333333333332,0.022219953848436436,ELN,1.355725723460671
ATP2C1,0.92136,0.033795198,ATP2C1,1.3554541625997105
UBE2A,0.9483833333333332,0.037389365,UBE2A,1.3535819290775182
NCALD,0.8130833333333334,0.02164362,NCALD,1.3535155214778931
HMGN4,0.9937,0.043560659,HMGN4,1.3523318557625095
UPF3B,1.0292333333333332,0.049021484,UPF3B,1.347897910526165
FRS3,0.7818666666666665,0.019066078,FRS3,1.3446063055732316
ABHD17A,0.9316266666666666,0.036585827,ABHD17A,1.338456033241133
NTC_17709,0.7667233333333333,0.018051428485002304,NTC,1.3367732567370885
KDM3B,1.03948,0.052027534468231475,KDM3B,1.334449865851927
C2orf68,1.0387266666666666,0.052161655,C2orf68,1.3323213417618907
NTC_15886,0.5889,0.00553783,NTC,1.3289473099553368
VEZF1,0.67144,0.010554980457554602,VEZF1,1.3271297408156177
TMEM100,1.0066566666666668,0.048513868,TMEM100,1.3228818510967102
TBX4,0.5920333333333333,0.005919292,TBX4,1.3188905439720913
ABCF1,0.7957933333333332,0.022349825700599138,ABCF1,1.3136366341093548
METTL20,0.9646666666666666,0.043560659,METTL20,1.312820230980746
NTC_14429,0.81661,0.024696394,NTC,1.3125915192331608
VTI1A,1.08399,0.061984146,VTI1A,1.3091557262631077
NUBP2,1.18598,0.078788079,NUBP2,1.3087757628261545
XPO5,1.3541066666666668,0.10805755557276235,XPO5,1.3085340187028909
GHDC,1.0405666666666666,0.055751592,GHDC,1.3046028926480993
NRXN1,0.8959666666666666,0.035022822,NRXN1,1.3042128543949958
RCN2,1.0292100000000002,0.054905379510195695,RCN2,1.297200951068496
PTGIS,0.9191066666666666,0.03925239,PTGIS,1.2923870405840225
DCAF16,0.6942566666666666,0.013783302087781817,DCAF16,1.291766393377367
FAM120A,0.9566433333333333,0.044727579116967855,FAM120A,1.2909180545122105
HOXB4,0.8003,0.024378569,HOXB4,1.2908773305218995
RBBP8,0.9135866666666665,0.03872714,RBBP8,1.2899702843340728
NTC_18090,0.8297466666666666,0.027945172443401046,NTC,1.2891717587889475
GMPPB,0.9510099999999999,0.044140864116699395,GMPPB,1.2887699214945896
CCDC47,0.9561599999999999,0.045320859,CCDC47,1.2847939810477804
AGAP3,0.8567333333333333,0.031801474,AGAP3,1.2830033630363962
OR4F15,0.9559699999999999,0.04568,OR4F15,1.2812616436955686
OR2Z1,0.8185033333333334,0.027642041,OR2Z1,1.2755800675412274
LILRB3,0.8309499999999999,0.029493208,LILRB3,1.2715844898490682
VSIG10L,0.8277366666666667,0.029659106,VSIG10L,1.2646508008086115
FAM211A,0.8027566666666668,0.026868979,FAM211A,1.2609291043495314
SLC9A5,0.9524666666666667,0.047636161,SLC9A5,1.2592211709158248
CHMP5,0.8657100000000001,0.035311466,CHMP5,1.2570838575890935
FZD7,1.03044,0.060450197855622605,FZD7,1.2556965265402398
TYK2,0.7421599999999999,0.020349197748482144,TYK2,1.2553285416417805
MYNN,1.06779,0.066780313,MYNN,1.2550286284867866
LILRA6,0.8270233333333334,0.030585957140260727,LILRA6,1.2525085812795695
NTC_2075,0.8809333333333332,0.03795678,NTC,1.251551355994722
PAX6,0.6614433333333334,0.012833348773682671,PAX6,1.251225897714356
H2AFJ,0.8756733333333333,0.037288108,H2AFJ,1.2508377549594167
SUB1,0.6469466666666666,0.012017081,SUB1,1.2422676436104074
LCE1D,0.7727999999999999,0.024802938911422108,LCE1D,1.2407279706071366
SYTL1,0.80812,0.029163806579793793,SYTL1,1.240590097625033
NTC_11242,0.92937,0.04731326,NTC,1.2314311688383044
SMIM19,0.8951066666666667,0.042419559,SMIM19,1.2284746894237986
PSMF1,1.0195466666666666,0.062450563,PSMF1,1.2280068907930077
SSR4,0.9455199999999999,0.05031006,SSR4,1.227611323276891
NTC_7883,0.6692933333333333,0.014683596119412709,NTC,1.2269268331614502
ZNF208,1.0182433333333334,0.062450563,ZNF208,1.2264370731802778
OR13H1,0.7691533333333332,0.025451486458002857,OR13H1,1.226251043607653
PPIG,0.9912633333333332,0.05806141,PPIG,1.2253129220414414
RHPN1,1.2046966666666665,0.096207086,RHPN1,1.2249270654211553
MFF,1.0706333333333335,0.072228851,MFF,1.2219023631498125
TLR9,0.8638433333333333,0.03872714,TLR9,1.2197334647908902
MYOZ3,0.8489433333333334,0.036585827,MYOZ3,1.2196659531498724
LOXL4,0.8992399999999999,0.044024304,LOXL4,1.2196459571895435
FRAS1,0.6545333333333333,0.013719506797143026,FRAS1,1.2191740409972964
DEGS1,0.7847366666666666,0.027956594644651386,DEGS1,1.2191007559933844
PRKAA2,0.7500466666666666,0.024029748567406226,PRKAA2,1.2145136450592364
NSD1,1.2660166666666668,0.11026400497818227,NSD1,1.2122948157935352
TCOF1,0.9846933333333334,0.059096674416438746,TCOF1,1.2096336827186946
MED12,1.6221533333333333,0.18021086134054742,MED12,1.207237392512547
JUNB,1.2643033333333336,0.11097351895332376,JUNB,1.2071323487062247
H2AFX,0.67672,0.016609748,H2AFX,1.2043159221938595
NBEAL2,1.14237,0.088279036,NBEAL2,1.204220676530713
TMX2,0.6147633333333333,0.011035400029557168,TMX2,1.203222123479366
C17orf97,0.9976233333333333,0.062450563,C17orf97,1.2016010328929423
RNF4,1.4749533333333333,0.15325334211954725,RNF4,1.2014823031985113
HMGN5,0.8795433333333333,0.043330387,HMGN5,1.1990000076744403
FNDC3A,0.6327966666666667,0.012793393667451811,FNDC3A,1.1978930985987166
AHCYL2,0.7362499999999998,0.023685264,AHCYL2,1.196790397
OR8B8,0.5981666666666665,0.010288888161619348,OR8B8,1.1889349408919485
F8A3,1.00653,0.065960364,F8A3,1.188427038577467
F8A2,1.00653,0.065960364,F8A2,1.188427038577467
MAD2L2,0.9738366666666667,0.060450197855622605,MAD2L2,1.1867195758616307
FOSL1,1.2683333333333335,0.1165800475409322,FOSL1,1.1838316040427093
RASA4B,0.8488833333333333,0.040646424,RASA4B,1.1807777536701438
NFKBIZ,1.0557533333333333,0.076365671,NFKBIZ,1.1793839771863706
RASA4,0.9028766666666665,0.049405116,RASA4,1.179362852340601
IRS1,1.19014,0.10281106303219813,IRS1,1.1758108933574878
LMOD1,0.75065,0.027330544,LMOD1,1.1735299755268531
ERH,1.0441433333333334,0.075268305,ERH,1.1729779515284409
TPM4,0.7096966666666666,0.022611551,TPM4,1.1679262688054088
ST3GAL6,0.6375,0.015069227533441825,ST3GAL6,1.1614669935992092
NTC_18092,0.7928333333333333,0.034520071,NTC,1.1590654990112759
NTC_7070,0.6710466666666667,0.019036211679575303,NTC,1.1544817536735716
SORL1,1.2666300000000001,0.12290749543607554,SORL1,1.1531673506393434
MAX,1.0594366666666666,0.082049786,MAX,1.1504661631206075
SLC2A8,0.7704333333333333,0.032245511956716454,SLC2A8,1.1491249870362636
FDFT1,0.9209066666666665,0.056608641,FDFT1,1.1484786122504083
CGB8,0.7389199999999999,0.028194530698779117,CGB8,1.1452041741837073
SMG8,0.7950899999999999,0.036486427,SMG8,1.1432349936731294
OR6S1,1.00113,0.072228851,OR6S1,1.1425789527882295
HNRNPAB,1.03143,0.078223584,HNRNPAB,1.1414446845606792
LCAT,1.0117833333333335,0.074543904,LCAT,1.140874608
ZMIZ2,1.0817766666666666,0.088279036,ZMIZ2,1.1403466734844865
LRRTM4,0.6477133333333334,0.017378307028754637,LRRTM4,1.1399706309747364
MAN1A1,0.7748933333333334,0.033888306,MAN1A1,1.1390545608894398
OR4F4,0.8546499999999999,0.047017433,OR4F4,1.134753916960572
NTC_9364,1.1562000000000001,0.10458778676999364,NTC,1.1336760992596027
KLB,0.70978,0.025306110340364864,KLB,1.1333586774830957
ITPR3,0.9179833333333334,0.058355650204008826,ITPR3,1.1327153211581622
ALS2,0.7349733333333333,0.028837576,ALS2,1.131889250913151
SOX5,1.0309866666666665,0.079927011,SOX5,1.131308296300246
NRIP1,0.8465933333333333,0.046162582983579566,NRIP1,1.1308030954528485
GMEB2,0.9099200000000001,0.057331198384151474,GMEB2,1.1297648432160832
ZNF705A,0.84359,0.045800246,ZNF705A,1.1296785270271146
CREBZF,1.4449533333333335,0.16529753620244492,CREBZF,1.1295685994758438
SLC2A2,0.9471700000000001,0.064185659,SLC2A2,1.1295589456338502
NTC_9946,1.1209833333333334,0.098671044,NTC,1.1274965556179293
ITGA7,0.9233866666666667,0.060147215,ITGA7,1.1272561085330586
ASXL1,0.8012533333333332,0.039890663,ASXL1,1.1210565730988913
NTC_9133,1.01341,0.078788773,NTC,1.1183340744966803
SEC23A,0.7068333333333334,0.026339007,SEC23A,1.1163729947991787
NTC_11794,0.52848,0.007739151,NTC,1.1157833630456189
TRPM7,1.3149133333333334,0.1418439704160946,TRPM7,1.1152951840122178
ATP8B1,0.95581,0.068782474,ATP8B1,1.111150352
GABPB1,0.6263166666666666,0.016913515,GABPB1,1.1096866569736432
LANCL3,0.8777666666666666,0.054765391,LANCL3,1.1072972164381534
DNAH8,0.9051333333333332,0.059845492438569764,DNAH8,1.106949604819978
TNFRSF1B,0.5845533333333333,0.012793393667451811,TNFRSF1B,1.106567782
ELAVL1,0.8436366666666666,0.049021484,ELAVL1,1.1048380026329554
ZNF790,0.6799666666666666,0.023753816447493154,ZNF790,1.1044471483423675
NTC_9900,0.92825,0.064744436,NTC,1.1035013259960318
OLIG1,0.8412366666666666,0.04927696,OLIG1,1.0997958823211222
ZNF609,0.6457466666666666,0.019815452348768116,ZNF609,1.0997039962272552
GAS1,1.1713866666666668,0.11529461059419994,GAS1,1.0989844201893881
GPR61,0.8630966666666665,0.053656161,GPR61,1.096461089461657
ZC3H18,1.4111633333333333,0.1678210493652884,ZC3H18,1.0938682923617469
ZNF674,0.9117166666666666,0.063392107,ZNF674,1.0922044873154049
TXNDC15,0.92325,0.065960364,TXNDC15,1.0900969304110621
L3MBTL2,0.69487,0.027175934217656864,L3MBTL2,1.088038228571848
NTNG1,0.8083366666666666,0.045082756,NTNG1,1.0880127036557212
TADA2A,0.7320066666666667,0.032876084,TADA2A,1.0856536660693024
CHP1,0.94519,0.071354269,CHP1,1.0837359873339478
UPF1,1.1398100000000002,0.11200461671791548,UPF1,1.0836904012126383
CKM,0.8091899999999999,0.046162582983579566,CKM,1.0808430928775212
F8A1,0.5739033333333332,0.013116139413200263,F8A1,1.080197396693834
SP8,0.7437966666666666,0.035311466,SP8,1.0800554261764819
DISC1,0.5278933333333332,0.009045967,DISC1,1.0787737827648958
PARP1,0.5733866666666667,0.013197942,PARP1,1.0776766676521854
TCEB1,0.87445,0.058651128,TCEB1,1.0770807266015077
GLDC,0.6206499999999999,0.018506613,GLDC,1.075383528
NTC_248,0.8596699999999999,0.056507864,NTC,1.0727745501874209
SH3BGRL,0.5465266666666667,0.010896192982889357,SH3BGRL,1.0726816685479545
ANKRD44,0.9454033333333333,0.07382521,ANKRD44,1.0700030566188437
PNISR,0.6563033333333333,0.023753816447493154,PNISR,1.0660115862751953
TRAPPC6B,0.8985933333333334,0.065310394,TRAPPC6B,1.0648490028647983
SUN5,1.1535566666666668,0.11971102778517621,SUN5,1.063424486108562
SCAF1,0.87324,0.061059959,SCAF1,1.0603259865530519
PPP4C,0.9837366666666667,0.083622162,PPP4C,1.0601519623638536
LMNB1,0.5927333333333333,0.016409908056007016,LMNB1,1.0579660827039306
ANKRD9,0.87168,0.061674806,ANKRD9,1.0546388392054342
LCN12,0.6432766666666666,0.023210188888969578,LCN12,1.051320774309821
MINOS1,0.97341,0.083226798,MINOS1,1.051026610103287
ELOVL5,0.9022233333333333,0.068445396,ELOVL5,1.0507796043244058
CLEC4F,0.9102866666666666,0.070144454,CLEC4F,1.0504768745082333
BET1L,0.8189333333333333,0.052161655,BET1L,1.0504037226477974
IPO5,1.1685500000000002,0.1269963778677622,IPO5,1.0472646362040872
INS-IGF2,0.96082,0.081854936,INS-IGF2,1.0443682235582992
HES2,0.88412,0.065960364,HES2,1.0438954758895513
ODC1,0.7564799999999999,0.041858556,ODC1,1.0425926565185677
SLX1A,0.58212,0.016261417,SLX1A,1.0413204746020328
NTC_4081,1.0776333333333334,0.1083086367740617,NTC,1.0402792325181631
B3GALT6,0.93988,0.078411382,B3GALT6,1.039150962962792
NTC_15941,0.9820933333333334,0.087481411,NTC,1.0391374587031155
ARF6,1.0652233333333334,0.10636571004596983,ARF6,1.0366735972207264
RAD51D,1.22803,0.14472298769775246,RAD51D,1.0308851097702412
RNF115,0.57529,0.016261417,RNF115,1.029102686445756
PDE6A,1.0954300000000001,0.11606452832711574,PDE6A,1.0245562148640954
ZG16B,0.6288499999999999,0.024099164350971727,ZG16B,1.017478052685146
TANGO2,0.9203833333333333,0.078599547,TANGO2,1.0166369832811273
SUPT20H,0.7473000000000001,0.043676181706150716,SUPT20H,1.0161451625038518
ACAT2,0.78219,0.050440464339404724,ACAT2,1.0146732346210712
VMAC,0.9890633333333333,0.094228049,VMAC,1.0146007499138927
MDC1,1.0617833333333333,0.11100734680623464,MDC1,1.0136296300570105
MINOS1-NBL1,0.9650466666666666,0.089109877,MINOS1-NBL1,1.013370564333811
STAP1,0.6112366666666667,0.022026376708602004,STAP1,1.0128539589411085
STAMBPL1,0.52811,0.012245469690335048,STAMBPL1,1.009759286320811
ZNF273,0.8186433333333333,0.058503234,ZNF273,1.0092399750977559
NTC_6048,0.8769366666666666,0.07094627,NTC,1.0076619958321542
IFI27L2,1.0705666666666667,0.11478356740318058,IFI27L2,1.0064614363223972
IQCG,0.8347133333333333,0.062606679,IQCG,1.0044767745033645
